id_cliente,data,qtd_eventos,qtd_sessoes,qtd_page_view,qtd_search,qtd_click,qtd_add_to_cart,qtd_abandon_cart,qtd_purchase,canal_principal,dispositivo_principal,tempo_total_segundos,data_referencia_calculo
5c17e7db-36cc-4481-b246-a2b48ec520ef,28/01/2023,1,1,0,0,0,1,0,0,app,celular,524,2026-05-16T02:58:24.632Z
56508cfc-dbf8-485b-bc16-04f1c43f5884,04/01/2023,1,1,0,0,0,1,0,0,web,tablet,263,2026-05-16T02:58:24.632Z
4c258539-bbc3-4224-8687-3de7c9610218,07/02/2023,1,1,1,0,0,0,0,0,app,celular,477,2026-05-16T02:58:24.632Z
fbf12957-47d8-47d9-ac30-34dc76640662,18/02/2023,1,1,0,0,1,0,0,0,web,computador,440,2026-05-16T02:58:24.632Z
e5a52968-96f5-475c-9aa7-8ff0ccb71b68,12/04/2023,1,1,1,0,0,0,0,0,web,computador,476,2026-05-16T02:58:24.632Z
dea20064-1ae6-4fe0-b748-0148a279f0de,25/05/2023,1,1,0,1,0,0,0,0,web,computador,461,2026-05-16T02:58:24.632Z
cfb7aabb-0c10-4b1a-a4ab-e9ca28350812,13/05/2023,1,1,1,0,0,0,0,0,app,celular,161,2026-05-16T02:58:24.632Z
b6bff931-4332-4d0d-ba51-7690e9d30acf,19/05/2023,1,1,1,0,0,0,0,0,mobile,celular,421,2026-05-16T02:58:24.632Z
1e42b641-c139-4571-bf06-441477168124,22/05/2023,1,1,1,0,0,0,0,0,web,celular,26,2026-05-16T02:58:24.632Z
6cea6a37-115c-4d53-8f2c-8351571b725e,07/05/2023,1,1,1,0,0,0,0,0,web,computador,null,2026-05-16T02:58:24.632Z
df40fc4f-b7e5-40e2-840f-a4e56a87e070,26/06/2023,1,1,1,0,0,0,0,0,web,celular,255,2026-05-16T02:58:24.632Z
e5d0a9d0-d359-40fa-88bc-49299023e798,26/06/2023,1,1,0,0,1,0,0,0,web,celular,94,2026-05-16T02:58:24.632Z
5bb13d73-ab3a-4fe6-838c-34cac55c5691,22/06/2023,1,1,1,0,0,0,0,0,web,computador,440,2026-05-16T02:58:24.632Z
6055c4b8-e47e-43b6-abc4-aafdb2742ea4,25/07/2023,1,1,1,0,0,0,0,0,app,computador,528,2026-05-16T02:58:24.632Z
313bb6fb-08c6-4551-b199-a62b8d0e64e2,05/07/2023,1,1,0,0,1,0,0,0,app,tablet,441,2026-05-16T02:58:24.632Z
fe41ab82-676e-4f92-a17f-ccf4621941f1,17/08/2023,1,1,1,0,0,0,0,0,mobile,computador,337,2026-05-16T02:58:24.632Z
cba44dca-bb1d-4884-a93f-4e6aa8b3a502,26/08/2023,1,1,0,0,1,0,0,0,mobile,computador,401,2026-05-16T02:58:24.632Z
c1963665-2e86-43ce-bf27-311501b44f30,10/08/2023,1,1,0,0,0,1,0,0,web,computador,8,2026-05-16T02:58:24.632Z
d4f6a879-a9b0-451b-85ef-5692fd6e9ee3,09/09/2023,1,1,1,0,0,0,0,0,mobile,computador,410,2026-05-16T02:58:24.632Z
37f016a9-867c-4690-8b57-9716ba01e9cd,01/09/2023,1,1,1,0,0,0,0,0,web,tablet,37,2026-05-16T02:58:24.632Z
d356e84a-dbf5-4eb4-a74c-3368f4b20c3b,27/09/2023,1,1,1,0,0,0,0,0,web,celular,472,2026-05-16T02:58:24.632Z
7f04016f-d4f4-4885-8933-1ffe7697207d,11/09/2023,1,1,1,0,0,0,0,0,web,computador,575,2026-05-16T02:58:24.632Z
728622ad-780a-4e86-a15a-bb33e1c94c5e,19/09/2023,1,1,1,0,0,0,0,0,app,celular,385,2026-05-16T02:58:24.632Z
efef0efc-14cd-4330-9d6a-8c0804303ad6,13/09/2023,1,1,0,0,0,1,0,0,web,computador,473,2026-05-16T02:58:24.632Z
e335764a-c7d9-4e66-868e-aa4a792f96ef,20/10/2023,1,1,1,0,0,0,0,0,web,celular,67,2026-05-16T02:58:24.632Z
75033397-b7bd-4a12-b72c-d0452ab2fd26,26/10/2023,1,1,1,0,0,0,0,0,web,computador,6,2026-05-16T02:58:24.632Z
2ba796f9-2809-4b3b-9fc5-09deba02c5ed,03/10/2023,1,1,0,0,1,0,0,0,web,celular,79,2026-05-16T02:58:24.632Z
e76563ee-638e-401a-9959-a7196730bae9,01/10/2023,1,1,0,1,0,0,0,0,web,tablet,326,2026-05-16T02:58:24.632Z
02a05043-227b-44e2-ab36-87b9ef0eef5f,22/11/2023,1,1,0,1,0,0,0,0,web,computador,283,2026-05-16T02:58:24.632Z
4c761246-556a-4cc6-b6cc-280f180a78a9,16/11/2023,1,1,0,0,0,1,0,0,web,computador,88,2026-05-16T02:58:24.632Z
67ad71d0-93fb-4053-abe8-649ce754f8c8,14/11/2023,1,1,1,0,0,0,0,0,web,computador,554,2026-05-16T02:58:24.632Z
00fbc5ee-3d9b-42f1-bbe6-a70e0da65c59,19/11/2023,1,1,1,0,0,0,0,0,mobile,celular,588,2026-05-16T02:58:24.632Z
27e63691-952b-4cd6-aaf5-17b08c6bbe1e,04/12/2023,1,1,1,0,0,0,0,0,mobile,computador,318,2026-05-16T02:58:24.632Z
2e2a7fcc-6038-433f-a4c8-9ad7f19aa4bf,18/12/2023,1,1,0,0,0,0,0,0,app,computador,10,2026-05-16T02:58:24.632Z
b41fc012-7a76-4515-809d-3f91be8135e1,18/12/2023,1,1,1,0,0,0,0,0,web,celular,237,2026-05-16T02:58:24.632Z
c2ed523a-059c-4f21-9c28-25b3fc6610f1,28/12/2023,1,1,0,0,0,1,0,0,web,tablet,314,2026-05-16T02:58:24.632Z
c483274e-0c05-4a58-bd80-b034820d66f9,28/12/2023,1,1,0,0,1,0,0,0,web,computador,456,2026-05-16T02:58:24.632Z
63c4592f-d3c5-429b-bcd6-edaa3e81abd8,01/01/2024,1,1,0,0,0,1,0,0,web,celular,null,2026-05-16T02:58:24.632Z
864200aa-d916-48df-956c-b648a0917b9f,22/01/2024,1,1,0,0,1,0,0,0,app,computador,319,2026-05-16T02:58:24.632Z
e3ba2b37-9c0f-4876-85e6-9f75e2fcd9df,24/01/2024,1,1,1,0,0,0,0,0,web,computador,307,2026-05-16T02:58:24.632Z
98898a2b-49fa-4e83-acf2-b5dc0f8d0a1f,10/01/2024,1,1,1,0,0,0,0,0,mobile,computador,328,2026-05-16T02:58:24.632Z
dc83fd44-21cb-441d-a0a5-53230fc155c6,16/01/2024,1,1,0,0,1,0,0,0,web,celular,4410,2026-05-16T02:58:24.632Z
e2d5e856-e0d2-48ff-9d96-c477218691f9,19/01/2024,1,1,0,0,0,0,0,0,mobile,celular,181,2026-05-16T02:58:24.632Z
4b869dcd-7e9b-446b-b6d8-e2e1c2f8b4e8,17/01/2024,1,1,1,0,0,0,0,0,mobile,celular,562,2026-05-16T02:58:24.632Z
2a8bb2bb-f72b-4a5a-83c2-b37aa3f3eade,04/02/2024,1,1,0,0,0,1,0,0,web,celular,70,2026-05-16T02:58:24.632Z
7de5d5ee-5bc1-4fe5-a73b-315352295bab,19/02/2024,1,1,1,0,0,0,0,0,web,tablet,260,2026-05-16T02:58:24.632Z
14417714-33f5-44e8-9942-9b7a3bcf6c29,18/02/2024,1,1,0,0,0,0,0,0,web,celular,590,2026-05-16T02:58:24.632Z
1dd8e6c9-7c4e-496c-a342-d4a28c2e74d1,09/03/2024,1,1,0,1,0,0,0,0,web,celular,95,2026-05-16T02:58:24.632Z
46066b6d-136a-44a6-b9bd-adc6cff5bc01,03/03/2024,1,1,0,0,1,0,0,0,web,tablet,null,2026-05-16T02:58:24.632Z
9a9daa8f-d9b4-4013-b516-96c803ac5307,06/03/2024,1,1,0,0,1,0,0,0,web,computador,165,2026-05-16T02:58:24.632Z
